45	6	39	46	85	43
60	72	59	8	33	29
48	22	14	66	68	34
12	67	80	75	3	35
62	86	56	55	33	49
43	62	13	41	68	31
8	13	74	46	25	1
60	59	6	38	34	38
64	69	83	55	94	94
55	61	39	5	54	98
47	54	32	99	17	96
78	36	67	61	20	56
69	68	53	99	16	1
56	70	55	3	79	88
80	1	24	67	56	21
60	9	66	47	24	79
34	41	5	32	45	56
75	50	5	32	63	68
29	44	88	51	70	37
51	92	83	55	79	17
39	84	88	97	99	42
52	33	61	24	66	91
2	39	37	99	66	66
12	39	98	75	83	91
13	90	19	95	17	48
99	6	91	85	71	86
99	21	86	44	89	60
5	8	7	2	16	99
56	38	73	46	73	58
51	68	94	65	38	73
71	59	29	44	7	63
9	99	68	37	45	85
67	42	58	60	14	47
6	71	47	51	8	91
24	23	8	29	84	65
49	8	40	3	31	78
47	9	13	50	63	21
6	22	6	74	31	85
56	5	36	52	54	32
45	48	73	37	27	72
50	66	73	32	5	11
34	24	20	23	8	20
45	73	24	99	70	33
28	90	52	91	69	45
44	19	9	60	13	63
90	45	42	31	68	31
20	16	31	81	85	2
95	54	61	62	5	23
78	41	69	15	12	45
63	26	42	86	58	51
94	43	40	96	9	57
39	73	37	13	86	51
85	7	11	62	2	11
72	52	63	11	35	28
64	61	21	92	27	84
50	7	40	85	50	37
73	59	24	76	59	51
3	71	20	8	53	50
16	30	83	82	23	89
94	41	74	91	8	87
85	68	7	92	28	76
7	94	34	73	38	93
7	13	57	5	55	74
10	72	28	20	75	72
92	51	74	38	38	27
18	38	26	32	97	29
65	79	36	40	2	40
17	43	80	15	69	30
3	3	31	67	75	21
9	81	18	15	98	81
45	72	94	62	65	77
18	59	4	54	36	30
64	75	30	78	30	88
75	64	87	74	46	22
80	28	97	13	11	10
98	64	44	84	76	4
27	21	39	70	61	80
65	21	54	72	73	63
12	52	2	74	60	24
72	95	2	1	25	84
78	66	27	10	17	65
91	46	68	72	24	80
94	95	13	19	43	35
82	89	9	89	61	62
44	2	21	12	42	57
53	33	27	36	12	91
34	28	79	32	82	5
5	87	9	16	60	99
92	51	80	55	6	2
13	33	30	44	20	1
63	93	22	65	37	97
90	97	97	69	88	81
69	37	87	29	91	92
42	75	42	4	82	11
63	65	98	76	86	86
46	82	67	79	59	6
46	26	82	17	32	56
57	78	54	49	17	74
29	80	72	13	37	20
90	93	5	37	58	8
49	99	77	74	48	5
30	79	29	94	7	71
32	95	9	66	34	25
95	67	82	88	80	88
23	96	26	84	74	49
75	57	11	78	42	91
11	56	14	14	69	1
50	15	53	74	24	88
47	91	66	16	50	54
53	95	52	77	21	35
78	7	53	25	23	80
99	64	42	96	61	76
76	21	19	38	50	32
53	41	21	72	10	32
85	47	90	4	12	99
96	65	16	42	2	70
46	29	15	40	93	70
86	88	33	85	64	56
15	56	94	84	89	67
43	34	45	73	13	64
66	56	66	16	63	94
30	43	67	98	22	88
58	3	8	41	81	89
22	19	1	99	92	85
80	91	73	42	6	82
64	98	94	61	22	72
55	85	64	51	67	10
73	40	27	63	21	29
62	99	88	9	73	47
52	49	48	45	70	8
73	9	72	13	20	79
54	13	62	60	33	30
4	15	14	24	1	92
5	41	83	10	62	31
40	73	5	35	53	98
18	79	93	70	21	17
21	88	94	66	41	85
28	74	36	49	14	30
83	1	82	66	33	42
19	84	34	37	75	36
87	47	45	15	50	40
51	14	62	21	47	47
6	31	22	76	48	75
68	56	8	54	18	68
2	72	43	16	45	1
68	2	24	67	1	25
85	27	5	71	84	39
48	77	54	69	75	69
1	70	70	23	17	15
37	8	88	25	62	61
14	49	13	77	6	19
78	82	36	30	72	98
9	28	5	28	75	83
40	92	88	59	30	43
30	21	98	50	63	5
66	51	47	71	92	21
5	43	88	9	97	51
63	85	18	39	55	60
59	73	74	33	72	20
35	24	3	45	6	98
5	79	8	16	83	95
43	87	77	96	65	93
88	90	11	74	63	39
99	48	53	30	32	73
97	78	99	52	43	20
51	74	80	39	34	7
77	60	44	10	58	33
83	69	23	66	64	43
66	45	60	94	39	86
90	18	23	10	85	57
28	82	84	17	64	37
7	83	30	73	96	24
53	51	86	55	87	71
91	55	48	36	21	79
59	2	76	2	45	94
75	56	45	40	22	14
4	26	60	81	46	81
38	39	53	23	84	60
21	85	97	76	66	95
53	17	20	90	52	75
11	95	34	39	2	76
53	21	43	64	33	28
91	22	98	29	12	17
99	19	17	68	41	42
97	59	69	27	54	60
21	56	40	90	9	92
7	57	1	66	61	83
8	6	32	67	62	4
35	73	83	87	63	57
72	76	50	99	11	36
90	32	84	23	80	36
11	51	25	31	42	4
81	32	71	18	75	72
96	31	45	27	95	13
96	81	78	36	75	83
52	25	47	77	77	3
50	35	97	12	23	10
88	85	5	50	20	40
53	54	85	6	45	58
63	95	47	87	18	65
93	73	57	44	82	37
21	64	40	8	70	27
16	82	32	64	91	98
66	87	61	20	11	56
16	31	95	6	57	85
16	11	58	55	23	38
92	94	80	51	29	89
10	3	1	31	5	31
30	1	66	29	74	8
54	70	77	22	90	83
94	65	79	12	80	43
61	32	7	68	87	18
36	86	42	19	24	67
73	89	69	13	4	21
60	39	72	91	55	71
58	16	16	18	80	35
34	92	29	45	21	68
46	93	13	79	14	54
31	83	82	47	41	14
2	43	75	11	7	46
54	10	45	82	13	23
6	34	87	9	29	56
49	88	60	25	64	9
42	78	83	18	14	40
74	97	6	17	42	95
24	4	64	26	2	71
10	98	5	93	93	51
88	45	19	20	84	93
46	84	98	58	43	52
6	52	31	29	70	59
21	73	97	2	80	98
25	33	15	51	54	20
23	56	33	59	19	56
69	11	68	53	24	33
58	12	93	94	43	53
54	98	65	54	97	3
95	52	51	7	69	83
51	80	91	46	51	36
31	23	28	36	63	68
35	20	40	29	72	18
61	15	29	58	21	99
22	85	57	60	9	56
19	73	51	46	2	9
33	40	39	54	14	22
98	35	90	6	97	7
16	82	70	18	83	67
